label,entity_text,entity_token_length,count
LOCATION,United States,2,2786
PERSON,Mr. Abbas,2,2539
TIME,10:30 AM,2,2057
TIME,08:15 a.m.,2,2005
TIME,12:00 PM,2,1997
TIME,9 pm,2,1954
ORGANIZATION,United Nations,2,1784
PERSON,Mr. Fox,2,1586
DATE,1904 - 5,3,1580
LOCATION,UNITED STATES,2,1402
LOCATION,united states,2,1394
PERSON,MR. ABBAS,2,1315
PERSON,mr. abbas,2,1267
PERSON,President Bush,2,1213
LOCATION,Gaza Strip,2,1211
LOCATION,Middle East,2,1183
ORGANIZATION,West Bank,2,1178
PERSON,Mr. Chavez,2,1157
PERSON,President Pervez Musharraf,3,996
LOCATION,Indian Ocean,2,902
ORGANIZATION,Red Cross,2,887
ORGANIZATION,united nations,2,872
ORGANIZATION,UNITED NATIONS,2,856
LOCATION,East Africa,2,845
PERSON,President Mohammad Khatami,3,818
LOCATION,Nuristan Province,2,809
DATE,26th anniversary of,3,808
PERSON,Mr. Roed-Larsen,2,806
PERSON,mr. fox,2,806
ORGANIZATION,Grammy Award,2,804
DATE,first six,2,803
DATE,of 2010,2,803
PERSON,Mr. Qureia,2,800
ORGANIZATION,Western Hemisphere,2,796
LOCATION,Maale Adumim,2,791
PERSON,MR. FOX,2,788
PERSON,David Welch,2,787
PERSON,Elliott Abrams,2,787
DATE,anniversary of,2,781
DATE,formation of,2,778
DATE,million-dollar payday,2,777
PERSON,Mr. Bush,2,774
ORGANIZATION,European Union,2,730
LOCATION,North Korea,2,670
ORGANIZATION,White House,2,666
LOCATION,gaza strip,2,612
LOCATION,GAZA STRIP,2,609
LOCATION,middle east,2,608
PERSON,mr. chavez,2,601
PERSON,PRESIDENT BUSH,2,593
PERSON,president bush,2,592
PERSON,MR. CHAVEZ,2,591
LOCATION,MIDDLE EAST,2,585
ORGANIZATION,WEST BANK,2,578
ORGANIZATION,west bank,2,568
PERSON,PRESIDENT PERVEZ MUSHARRAF,3,501
PERSON,president pervez musharraf,3,484
ORGANIZATION,RED CROSS,2,453
ORGANIZATION,red cross,2,448
PERSON,president mohammad khatami,3,447
LOCATION,INDIAN OCEAN,2,430
PERSON,mr. qureia,2,429
DATE,Wednesday Over,2,427
DATE,Anniversary Of,2,426
DATE,FORMATION OF,2,426
PERSON,mr. roed-larsen,2,425
PERSON,david welch,2,423
DATE,wednesday over,2,422
LOCATION,NURISTAN PROVINCE,2,421
LOCATION,maale adumim,2,421
PERSON,elliott abrams,2,421
LOCATION,indian ocean,2,419
DATE,Million-Dollar Payday,2,415
ORGANIZATION,grammy award,2,413
DATE,First Six,2,410
DATE,Of 2010,2,410
PERSON,MR. ROED-LARSEN,2,406
ORGANIZATION,western hemisphere,2,404
PERSON,MR. QUREIA,2,403
LOCATION,EAST AFRICA,2,402
DATE,WEDNESDAY OVER,2,401
DATE,'S Summit Of,3,399
LOCATION,MAALE ADUMIM,2,398
LOCATION,South Korea,2,397
ORGANIZATION,WESTERN HEMISPHERE,2,397
ORGANIZATION,GRAMMY AWARD,2,396
PERSON,DAVID WELCH,2,396
PERSON,ELLIOTT ABRAMS,2,396
DATE,'s summit of,3,395
DATE,FIRST SIX,2,395
DATE,OF 2010,2,395
DATE,26Th Anniversary Of,3,392
DATE,ANNIVERSARY OF,2,392
LOCATION,east africa,2,392
PERSON,PRESIDENT MOHAMMAD KHATAMI,3,390
DATE,MILLION-DOLLAR PAYDAY,2,388
DATE,'S SUMMIT OF,3,387
DATE,Wednesday over,2,381
DATE,'s Summit of,3,379
DATE,Formation Of,2,376
